"filename", "language", "JavaScript", "HTML", "TypeScript", "Markdown", "JSON with Comments", "CSS", "JSON", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\.eslintrc.js", "JavaScript", -78, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -81
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\.gitpod.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\.stylelintignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\CHANGELOG.en_US.md", "Markdown", 0, 0, 0, -877, 0, 0, 0, 0, 0, 0, -386, -1263
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\CHANGELOG.md", "Markdown", 0, 0, 0, -1406, 0, 0, 0, 0, 0, 0, -181, -1587
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\CHANGELOG.zh_CN.md", "Markdown", 0, 0, 0, -931, 0, 0, 0, 0, 0, 0, -387, -1318
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\README.md", "Markdown", 0, 0, 0, -112, 0, 0, 0, 0, 0, 0, -58, -170
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\README.zh-CN.md", "Markdown", 0, 0, 0, -115, 0, 0, 0, 0, 0, 0, -61, -176
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\config\themeConfig.ts", "TypeScript", 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, -15, -80
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\constant.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, -3, -2, -7
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\generate\generateModifyVars.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, -6, -5, -38
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\generate\icon\index.ts", "TypeScript", 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, -8, -73
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\getConfigFileName.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -1, -10
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\script\buildConf.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, -4, -7, -46
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\script\postBuild.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, -2, -6, -24
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\utils.ts", "TypeScript", 0, 0, -67, 0, 0, 0, 0, 0, 0, -16, -10, -93
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\optimizer.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -7, -3, -22
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\compress.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, -4, -5, -36
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\hmr.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, -5, -5, -26
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\html.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, -6, -5, -41
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\imagemin.ts", "TypeScript", 0, 0, -31, 0, 0, 0, 0, 0, 0, -2, -2, -35
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\index.ts", "TypeScript", 0, 0, -49, 0, 0, 0, 0, 0, 0, -17, -17, -83
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\mock.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, 0, -4, -3, -20
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\pwa.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, -5, -3, -34
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\styleImport.ts", "TypeScript", 0, 0, -69, 0, 0, 0, 0, 0, 0, -7, -3, -79
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\svgSprite.ts", "TypeScript", 0, 0, -10, 0, 0, 0, 0, 0, 0, -5, -3, -18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\theme.ts", "TypeScript", 0, 0, -76, 0, 0, 0, 0, 0, 0, -10, -4, -90
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\plugin\visualizer.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, 0, -3, -2, -18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\build\vite\proxy.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, -9, -7, -35
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\index.html", "HTML", 0, -153, 0, 0, 0, 0, 0, 0, 0, 0, -14, -167
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\jest.config.mjs", "JavaScript", -35, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -37
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\mock\_createProductionServer.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -3, -4, -19
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\mock\_util.ts", "TypeScript", 0, 0, -48, 0, 0, 0, 0, 0, 0, -5, -8, -61
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\mock\demo\account.ts", "TypeScript", 0, 0, -69, 0, 0, 0, 0, 0, 0, 0, -3, -72
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\mock\sys\menu.ts", "TypeScript", 0, 0, -258, 0, 0, 0, 0, 0, 0, -1, -12, -271
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\mock\sys\user.ts", "TypeScript", 0, 0, -109, 0, 0, 0, 0, 0, 0, -1, -5, -115
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\package.json", "JSON", 0, 0, 0, 0, 0, 0, -25, 0, 0, -131, 0, -156
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, -10236, 0, -1496, -11732
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\postcss.config.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\prettier.config.js", "JavaScript", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\langs\en.js", "JavaScript", -419, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -420
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\langs\zh_CN.js", "JavaScript", -389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -389
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, -117, 0, 0, 0, -6, -117, -240
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, -115, 0, 0, 0, -6, -115, -236
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, -6, 0, 0, 0, -6, -6, -18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, -435, 0, 0, 0, -6, -435, -876
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, -117, 0, 0, 0, -6, -117, -240
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, -117, 0, 0, 0, -6, -117, -240
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, -115, 0, 0, 0, -6, -115, -236
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, -6, 0, 0, 0, -6, -6, -18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, -435, 0, 0, 0, -6, -435, -876
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\public\resource\tinymce\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, -117, 0, 0, 0, -6, -117, -240
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\stylelint.config.js", "JavaScript", -73, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, -93
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\__mocks__\fileMock.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\__mocks__\styleMock.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\__mocks__\workerMock.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\README.md", "Markdown", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -8, -16
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\controller\FileController.ts", "TypeScript", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -5, -19
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\controller\UserController.ts", "TypeScript", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -5, -16
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\ecosystem.config.js", "JavaScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\index.ts", "TypeScript", 0, 0, -49, 0, 0, 0, 0, 0, 0, -4, -11, -64
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\nodemon.json", "JSON", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\package.json", "JSON", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -1, -37
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\routes.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, -2, -3, -24
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\service\FileService.ts", "TypeScript", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -7, -55
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\service\UserService.ts", "TypeScript", 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -3, -26
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -1, -16
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\utils.ts", "TypeScript", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\test.spec.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, 0, -11, -3, -17
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, -38, 0, 0, 0, 0, -6, 0, -44
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\axios.d.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, -16, -4, -47
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\config.d.ts", "TypeScript", 0, 0, -104, 0, 0, 0, 0, 0, 0, -47, -11, -162
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\global.d.ts", "TypeScript", 0, 0, -83, 0, 0, 0, 0, 0, 0, -7, -12, -102
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\index.d.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -9, -28
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\module.d.ts", "TypeScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, -16, -1, -23
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\store.d.ts", "TypeScript", 0, 0, -25, 0, 0, 0, 0, 0, 0, -12, -6, -43
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\utils.d.ts", "TypeScript", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\vue-router.d.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, -18, -2, -46
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\vite.config.ts", "TypeScript", 0, 0, -85, 0, 0, 0, 0, 0, 0, -11, -12, -108
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\windi.config.ts", "TypeScript", 0, 0, -68, 0, 0, 0, 0, 0, 0, -4, -3, -75
"Total", "-", -1026, -153, -1799, -3449, -53, -1580, -69, -3, -10242, -496, -4435, -23305